feature,importance
BB/TB_62/148,0.0
BB/TB_62/168,0.0
BB/TB_63/145,0.0
BB/TB_64/187,0.0
BB/TB_56/189,0.0
BB/TB_57/149,0.0
BB/TB_57/156,0.0
BB/TB_57/162,0.0
BB/TB_57/163,0.0
BB/TB_57/164,0.0
BB/TB_57/165,0.0
BB/TB_57/186,0.0
BB/TB_63/165,0.0
BB/TB_65/173,0.0
BB/TB_65/176,0.0
BB/TB_66/153,0.0
BB/TB_66/154,0.0
BB/TB_66/157,0.0
BB/TB_66/159,0.0
BB/TB_66/175,0.0
BB/TB_66/176,0.0
BB/TB_66/184,0.0
BB/TB_65/171,0.0
BB/TB_61/147,0.0
BB/TB_98/180,0.0
BB/TB_98/181,0.0
BB/TB_98/187,0.0
BB/TB_99/153,0.0
BB/TB_99/171,0.0
BB/TB_99/176,0.0
BB/TB_99/179,0.0
BB/TB_63/152,0.0
BB/TB_45/158,0.0
BB/TB_45/162,0.0
BB/TB_45/182,0.0
BB/TB_45/189,0.0
BB/TB_46/147,0.0
BB/TB_97/160,0.0
BB/TB_46/158,0.0
BB/TB_46/156,0.0
BB/TB_61/153,0.0
BB/TB_99/180,0.0
BB/TB_63/158,0.0
BB/TB_63/164,0.0
BB/TB_58/148,0.0
BB/TB_58/156,0.0
BB/TB_58/165,0.0
BB/TB_58/167,0.0
BB/TB_58/169,0.0
BB/TB_58/179,0.0
BB/TB_58/182,0.0
BB/TB_60/188,0.0
BB/TB_59/162,0.0
BB/TB_59/170,0.0
BB/TB_59/172,0.0
BB/TB_59/173,0.0
BB/TB_59/188,0.0
BB/TB_60/153,0.0
BB/TB_60/155,0.0
BB/TB_60/165,0.0
BB/TB_60/185,0.0
BB/TB_58/187,0.0
BB/TB_73/179,0.0
BB/TB_73/187,0.0
BB/TB_74/145,0.0
BB/TB_74/153,0.0
BB/TB_74/159,0.0
BB/TB_74/165,0.0
BB/TB_74/172,0.0
BB/TB_75/149,0.0
BB/TB_56/179,0.0
BB/TB_54/162,0.0
BB/TB_54/164,0.0
BB/TB_54/175,0.0
BB/TB_54/186,0.0
BB/TB_54/188,0.0
BB/TB_55/147,0.0
BB/TB_55/151,0.0
BB/TB_55/173,0.0
BB/TB_55/174,0.0
BB/TB_53/189,0.0
BB/TB_78/181,0.0
BB/TB_52/175,0.0
BB/TB_52/179,0.0
BB/TB_52/185,0.0
BB/TB_53/146,0.0
BB/TB_53/156,0.0
BB/TB_53/172,0.0
BB/TB_53/173,0.0
BB/TB_53/186,0.0
BB/TB_77/145,0.0
BB/TB_75/162,0.0
BB/TB_75/183,0.0
BB/TB_75/187,0.0
BB/TB_76/150,0.0
BB/TB_76/152,0.0
BB/TB_76/155,0.0
BB/TB_76/159,0.0
BB/TB_76/167,0.0
BB/TB_76/168,0.0
BB/TB_75/160,0.0
BB/TB_70/162,0.0
BB/TB_70/163,0.0
BB/TB_70/169,0.0
BB/TB_70/175,0.0
BB/TB_67/155,0.0
BB/TB_67/163,0.0
BB/TB_67/165,0.0
BB/TB_67/170,0.0
BB/TB_71/150,0.0
BB/TB_68/161,0.0
BB/TB_68/167,0.0
BB/TB_68/171,0.0
BB/TB_68/179,0.0
BB/TB_69/150,0.0
BB/TB_56/166,0.0
BB/TB_56/169,0.0
BB/TB_56/170,0.0
BB/TB_56/176,0.0
BB/TB_68/157,0.0
BB/TB_71/161,0.0
BB/TB_71/166,0.0
BB/TB_71/187,0.0
BB/TB_72/146,0.0
BB/TB_72/148,0.0
BB/TB_72/167,0.0
BB/TB_72/172,0.0
BB/TB_72/179,0.0
BB/TB_72/180,0.0
BB/TB_70/159,0.0
BB/TB_73/154,0.0
BB/TB_73/166,0.0
BB/TB_69/166,0.0
BB/TB_69/172,0.0
BB/TB_69/176,0.0
BB/TB_69/180,0.0
BB/TB_69/186,0.0
BB/TB_70/145,0.0
BB/TB_70/147,0.0
BB/TB_72/189,0.0
